software_string,type,cpe_part,vendor,product,cna_source,cpe_combined_score,vendor_similarity_score,product_similarity_score,vendor_simple_similarity,product_simple_similarity,vendor_product_count,vendor_vulnerability_count,product_vulnerability_count,recommender_level,recommender_order,recommender_type
Apple:Watch,HARDWARE,a,apple,ichat,Adobe Systems Incorporated,0.9255,0.216040846,-0.171378571,1,0.8,2386,2890,0,PRODUCT,LOW,application
HP:Technology Services,HARDWARE,a,hp,sitescope_tools,HP Inc.,0.9447,0.169687272,-0.060157549,1,0.8,15008,2593,0,PRODUCT,LOW,application
Oracle:Application Framework,SOFTWARE,a,oracle,application_server_discussion_forum_portlet,Oracle,0.8958,0.242596053,-0.22651998,1,0.799616276,7570,4455,0,PRODUCT,LOW,application
Intel:Modular Server System,HARDWARE,h,intel,server_system_r2224wftzsr,CERT@VDE,0.9982,0.158412582,-0.027456581,1,0.799590059,15747,16546,22,PRODUCT,LOW,hardware
HP:Flexible Data Center,HARDWARE,a,hp,virtual_connect_enterprise_manager_sdk,HP Inc.,0.9547,0.169687272,0.150351,1,0.799486235,15008,2593,0,PRODUCT,LOW,application
HP:Technology Services,HARDWARE,a,hp,access_control,HP Inc.,0.9344,0.169687272,0.050094889,1,0.799456337,15008,2593,1,PRODUCT,LOW,application
HP:Utility Data Center,HARDWARE,a,hp,network_function_virtualization_director,HP Inc.,0.7238,0.169687272,0.272386881,1,0.799054932,15008,2593,0,PRODUCT,LOW,application
Intel:Modular Server System,HARDWARE,h,intel,server_system_r2208wttyc1r,CERT@VDE,0.9983,0.158412582,0.025091682,1,0.798982554,15747,16546,22,PRODUCT,LOW,hardware
IBM:Elastic Interface,HARDWARE,a,ibm,web_experience_factory,IBM Corporation,0.9446,-0.016085702,0.08193095,1,0.79819873,12815,2902,0,PRODUCT,LOW,application
SAP:Master Data Governance,SOFTWARE,a,sap,bi_universal_data_integration,SAP SE,0.9862,-0.071146082,0.075354634,1,0.79793984,1970,851,0,PRODUCT,LOW,application
Microsoft:Project,SOFTWARE,a,microsoft,project_2016,Microsoft Corporation,0.871,0.050396025,0.065281785,1,0.797724035,5032,16642,2,PRODUCT,LOW,application
HP:Enterprise Security Products,HARDWARE,a,hp,openview_event_correlation_services,HP Inc.,0.9444,0.169687272,0.039960495,1,0.797724035,15008,2593,0,PRODUCT,LOW,application
Oracle:Application Framework,SOFTWARE,a,oracle,retail_clearance_optimization_engine,Oracle,0.8911,0.242596053,0.258690102,1,0.797618341,7570,4455,0,PRODUCT,LOW,application
HP:Integrated Lights-Out,HARDWARE,a,hp,network_operations_management_ultimate,HP Inc.,0.9663,0.169687272,0.168927598,1,0.7971748,15008,2593,0,PRODUCT,LOW,application
Microsoft:SharePoint Server,SOFTWARE,a,microsoft,biztalk_server,Microsoft Corporation,0.9112,0.050396025,-0.112769041,1,0.797053397,5032,16642,0,PRODUCT,LOW,application
Microsoft:SharePoint Server,SOFTWARE,a,microsoft,biztalk_server,Microsoft Corporation,0.9112,0.050396025,-0.112769041,1,0.797053397,5032,16642,0,PRODUCT,LOW,application
HP:Networking Products,HARDWARE,a,hp,centralview_roaming_fraud_control,HP Inc.,0.9313,0.169687272,0.43994958,1,0.796972293,15008,2593,0,PRODUCT,LOW,application
Microsoft:Windows Server 2008,SOFTWARE,a,magzter,bbc_knowledge_magazine,UNKNOWN,0.8987,0.043632335,-0.062124997,0.341881729,0.429063935,93,0,0,VENDOR,LOW,application
-:HP Client Automation Software,SOFTWARE,a,hp,intelligent_management_center,HP Inc.,0.8861,0.206574063,-0.06636089,0,0.725240668,15008,2593,1651,PRODUCT,LOW,application
-:FreePBX,SOFTWARE,o,fedoraproject,fedora,"Red Hat, Inc.",0.5915,0.05323645,-0.029370018,0,0.544331054,444,1026,1023,PRODUCT,LOW,operatingsystem
Mandriva:Linux,SOFTWARE,a,canonical,ubuntu_linux,PHP Group,0.7942,0.036023222,0.019836717,0.571547607,0.804984472,912,808,565,PRODUCT,MEDIUM,application
Mandriva:Linux,SOFTWARE,a,canonical,ubuntu_linux,PHP Group,0.7942,0.036023222,0.019836717,0.571547607,0.804984472,912,808,565,PRODUCT,MEDIUM,application
Toshiba:Excite,HARDWARE,a,adobe,acrobat_reader_dc,Adobe Systems Incorporated,0.3741,0.155108197,0.021864628,0.507092553,0.430820218,3230,1297,333,PRODUCT,LOWEST,application
Toshiba:Excite,HARDWARE,a,adobe,acrobat_dc,Adobe Systems Incorporated,0.3628,0.155108197,-0.079174694,0.507092553,0.294174203,3230,1297,333,PRODUCT,LOWEST,application
Microsoft:Windows Server 2008,SOFTWARE,a,lara\'s_google_analytics_project,-,UNKNOWN,0.8808,0.244816266,0.007401867,0.569802882,0,26,1,0,VENDOR,LOWEST,application
Microsoft:Windows Server 2008,SOFTWARE,a,lara\'s_google_analytics_project,lara\'s_google_analytics,UNKNOWN,0.869,0.244816266,0.200638238,0.569802882,0.348155312,26,1,1,VENDOR,LOW,application
Google:Backup and Sync from Google,SOFTWARE,a,ibm,qradar_security_information_and_event_manager,IBM Corporation,0.9269,0.134140281,0.131192077,0,0.680818268,12815,2902,300,PRODUCT,LOW,application
Apple:Interactive Television Box,HARDWARE,a,f5,big-ip_advanced_firewall_manager,F5 Networks,0.9696,0.235597012,0.215295452,0,0.632643735,3642,3584,268,PRODUCT,LOW,application
Avaya:Secure Router 4134,HARDWARE,a,f5,big-ip_advanced_firewall_manager,F5 Networks,0.9043,0.001230039,0.265164789,0,0.338061702,3642,3584,268,PRODUCT,LOW,application
-:Tableau,SOFTWARE,a,oracle,mysql,Oracle,0.5191,0.22192516,-0.009426224,0,0.149071198,7570,4455,267,PRODUCT,LOWEST,application
Apple:Interactive Television Box,HARDWARE,a,f5,big-ip_local_traffic_manager,F5 Networks,0.9618,0.235597012,0.215295452,0,0.608697643,3642,3584,265,PRODUCT,LOW,application
Apple:Display Connector,HARDWARE,a,f5,big-ip_local_traffic_manager,F5 Networks,0.9378,0.235597012,0.212060637,0,0.650443636,3642,3584,265,PRODUCT,LOW,application
Avaya:IP Phone 1140E,HARDWARE,a,f5,big-ip_local_traffic_manager,F5 Networks,0.9024,0.001230039,0.231967883,0,0.294174203,3642,3584,265,PRODUCT,LOW,application
Amazon:Echo Show,HARDWARE,a,f5,big-ip_local_traffic_manager,F5 Networks,0.8897,0.301854877,0.130258003,0,0.200160192,3642,3584,265,PRODUCT,LOWEST,application
Toshiba:Satellite,HARDWARE,a,f5,big-ip_local_traffic_manager,F5 Networks,0.888,0.185854207,0.086187883,0,0.537086156,3642,3584,265,PRODUCT,LOWEST,application
Apple:Interactive Television Box,HARDWARE,a,f5,big-ip_policy_enforcement_manager,F5 Networks,0.9573,0.235597012,0.215295452,0,0.772828365,3642,3584,263,PRODUCT,LOW,application
Toshiba:Satellite,HARDWARE,a,f5,big-ip_policy_enforcement_manager,F5 Networks,0.9046,0.185854207,0.086187883,0,0.536248253,3642,3584,263,PRODUCT,LOW,application
-:IBM Network Control Program,SOFTWARE,a,f5,big-ip_policy_enforcement_manager,F5 Networks,0.9018,0.211732251,0.224763684,0,0.748132002,3642,3584,263,PRODUCT,LOW,application
Cisco:Nexus 7700,HARDWARE,h,cisco,nexus_6001,"Cisco Systems, Inc.",1,0.192943885,0.249454518,1,0.752617809,30872,18241,7,PRODUCT,HIGH,hardware
Microsoft:Windows Server 2008,SOFTWARE,a,acronis,true_image_2020,UNKNOWN,0.874,0.138490845,0,0.683763459,0.573964021,94,26,1,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,hitachi,ucosminexus_developer,UNKNOWN,0.8738,0.054341217,0.07180261,0.363636364,0.624390541,619,21,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,hitachi,cosminexus_developer,UNKNOWN,0.8738,0.054341217,-0.038985071,0.363636364,0.650600049,619,21,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,google_calendar_events_project,google_calendar_events,UNKNOWN,0.8732,-0.019790739,0.116993293,0.478861155,0.534522484,3,0,0,VENDOR,REJECT,application
Microsoft:Windows Server 2008,SOFTWARE,a,google_calendar_events_project,-,UNKNOWN,0.8624,-0.019790739,0.007401867,0.478861155,0,3,0,0,VENDOR,REJECT,application
